#  step      rmse_val    rmse_trn    rmse_e_val  rmse_e_trn    rmse_f_val  rmse_f_trn    rmse_v_val  rmse_v_trn         lr
      0      2.69e+01    2.50e+01      2.35e-01    2.06e-01      8.46e-01    7.86e-01      3.68e-02    5.95e-02    1.0e-03
     10      5.67e+01    2.26e+01      3.01e-01    8.14e-02      1.79e+00    7.12e-01      1.07e-01    4.26e-02    7.9e-04
     20      6.37e+01    2.31e+01      1.33e-01    1.29e-01      2.01e+00    7.23e-01      8.63e-02    1.11e-01    6.3e-04
     30      2.50e+01    5.96e+01      2.81e-01    1.52e-01      7.80e-01    1.88e+00      9.89e-02    1.52e-01    5.0e-04
     40      6.97e+01    2.77e+01      2.78e-01    1.87e-01      2.20e+00    8.65e-01      6.99e-02    1.50e-01    4.0e-04
     50      2.20e+01    1.69e+01      1.19e-01    1.32e-01      6.91e-01    5.30e-01      7.21e-02    7.75e-02    3.2e-04
     60      3.15e+01    6.43e+01      8.30e-02    4.07e-01      9.93e-01    2.02e+00      1.12e-01    1.84e-01    2.5e-04
     70      1.79e+01    2.91e+01      2.10e-01    1.77e-01      5.43e-01    9.15e-01      1.87e-01    8.76e-02    2.0e-04
     80      6.15e+01    2.37e+01      1.85e-01    2.13e-01      1.94e+00    7.44e-01      3.43e-02    3.74e-02    1.6e-04
     90      6.86e+01    2.37e+01      2.78e-01    1.63e-01      2.16e+00    7.47e-01      2.22e-01    2.67e-02    1.3e-04
    100      6.33e+01    6.23e+01      1.54e-01    1.19e-01      2.00e+00    1.97e+00      6.93e-02    8.49e-02    1.0e-04
